EAR_left,EAR_right,EAR_avg,left_eye_width,left_eye_height,right_eye_width,right_eye_height,left_openness,right_openness,left_eyelid_dist,right_eyelid_dist,pupil_visibility,left_eyebrow_dist,right_eyebrow_dist,label
0.21767533489353863,0.2658472408408502,0.24176128786719442,78.63841300535,17.117642886435966,68.00735254367721,18.07956703062756,0.21767533212548518,0.26584723693175466,17.117642886435966,18.07956703062756,17.598604958531766,51.478150704935004,56.85068161420758,0
0.2329537200897092,0.272677472520448,0.2528155963050786,78.05767098754612,18.183824838087432,73.10950690573696,19.935315560272592,0.23295371710532964,0.2726774687907351,18.183824838087432,19.935315560272592,19.059570199180012,48.373546489791295,56.85068161420758,0
0.24331852001258392,0.308077877374061,0.27569819869332246,79.05694150420949,19.236018003525672,72.3394774656273,22.286192667959178,0.24331851693482107,0.3080778731152817,19.236018003525672,22.286192667959178,20.761105335742425,48.507731342539614,55.0,0
0.22111684188527606,0.28252061909731707,0.25181873049129655,77.41446893184762,17.117642886435966,70.06425622241343,19.794597044549292,0.2211168390290033,0.2825206150650097,17.117642886435966,19.794597044549292,18.45611996549263,50.48762224545735,54.67174773134658,0
0.2524250637903175,0.29336833304183824,0.2728966984160779,78.16009211867653,19.729566238914014,73.24616030891995,21.488103951543103,0.2524250605607274,0.29336832903659993,19.729566238914014,21.488103951543103,20.608835095228557,46.389654018972806,54.67174773134658,0
0.2232812498857346,0.29222135267503846,0.25775130128038654,77.31752712031083,17.263554093497184,71.02816342831905,20.75594599504709,0.22328124699788685,0.2922213485608768,17.263554093497184,20.75594599504709,19.00975004427214,49.36598018878993,54.56189146281496,0
0.23844891006264382,0.2929101568936876,0.2656795334781657,72.11102550927978,17.19479543618727,70.00714249274856,20.505803091229723,0.23844890675595246,0.29291015270968374,17.19479543618727,20.505803091229723,18.850299263708497,43.41658669218482,50.99019513592785,0
0.22887374389137474,0.2737711779449514,0.25132246091816307,81.30190649671138,18.607871725408817,72.11102550927978,19.741920396493967,0.2288737410762656,0.27377117414842833,18.607871725408817,19.741920396493967,19.17489606095139,48.25971404805462,58.137767414994535,0
0.23264845709850904,0.263377338137431,0.24801289761797002,78.16009211867653,18.183824838087432,74.10802925459562,19.518375479686263,0.23264845412194585,0.2633773345834662,18.183824838087432,19.518375479686263,18.851100158886847,49.09175083453431,57.38466694161429,0
0.25906182501222214,0.311243844676752,0.28515283484448706,72.11102550927978,18.681213871936926,71.00704190430693,22.100504721419725,0.25906182141968104,0.3112438402934707,18.681213871936926,22.100504721419725,20.390859296678325,43.289721643826724,50.32891812864648,0
0.2370305431441941,0.2715798711733045,0.2543052071587493,81.15417426109393,19.236018003525672,74.0,20.096910466824532,0.23703054022345046,0.2715798675033063,19.236018003525672,20.096910466824532,19.666464235175102,48.25971404805462,58.0,0
0.26204385473724395,0.2910655437121502,0.2765546992246971,73.17103251970687,19.17401941656822,68.00735254367721,19.794597044549292,0.2620438511559927,0.29106553943223745,19.17401941656822,19.794597044549292,19.484308230558756,41.19465984809196,48.83646178829912,0
0.2337262625762139,0.28266460800585325,0.25819543529103356,71.11258679024411,16.620879132610394,70.02856560004639,19.794597044549292,0.23372625928950658,0.28266460396943466,16.620879132610394,19.794597044549292,18.207738088579845,45.39823785126467,49.51767361255979,0
0.26433238265661835,0.2874038962635068,0.2758681394600626,70.25667228100119,18.571113581562237,65.00769185258002,18.683463925528926,0.2643323788942372,0.28740389184243165,18.571113581562237,18.683463925528926,18.62728875354558,43.18564576337837,51.85556864985669,0
0.21539366345758523,0.2649133765331919,0.2401535199953886,72.11102550927978,15.532257960127154,67.02984409947557,17.757102328885523,0.21539366047061262,0.26491337258102143,15.532257960127154,17.757102328885523,16.64468014450634,45.27692569068709,55.90169943749474,0
0.2360555610188419,0.293027089914322,0.26454132546658193,72.3394774656273,17.076135936958522,65.00769185258002,19.049014765608504,0.23605555775567819,0.29302708540674643,17.076135936958522,19.049014765608504,18.062575351283513,43.289721643826724,50.44799302251776,0
0.22675302766140976,0.27274695788684805,0.2497499927741289,71.11258679024411,16.124994359522624,69.06518659932803,18.837319540854224,0.22675302447276152,0.2727469539377245,16.124994359522624,18.837319540854224,17.481156950188424,45.27692569068709,50.93132631298737,0
0.2413119724496588,0.3144224128026581,0.27786719262615844,83.2946576918352,20.099998142135895,73.0,22.95283613459404,0.24131196955257062,0.3144224084955018,20.099998142135895,22.95283613459404,21.52641713836497,46.17358552246078,55.17245689653489,0
0.25233417765349075,0.3058967124818581,0.27911544506767444,72.06247289678588,18.183824838087432,71.00704190430693,21.72082068158903,0.25233417415188775,0.30589670817388104,18.183824838087432,21.72082068158903,19.952322759838232,42.42640687119285,49.51767361255979,0
0.2362875967729617,0.30330938137592794,0.2697984890744448,73.06161783043132,17.263554093497184,70.00714249274856,21.233823081372,0.23628759353887518,0.3033093770433789,17.263554093497184,21.233823081372,19.248688587434593,43.289721643826724,49.57822102496216,0
0.22724461646222188,0.3014267677384754,0.26433569210034863,80.30566605165541,18.249030281651706,74.02702209328699,22.3137259948842,0.2272446136324762,0.30142676366662763,18.249030281651706,22.3137259948842,20.281378138267954,48.25971404805462,54.56189146281496,0
